Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Water resistance;Crystal;Dial;Bracelet color;Clasp;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews
Tudor;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;3200.0;Item is in stock;Circular;596.9925000000001;10.0;Sapphire crystal;Black;Steel;Fold clasp;414.0;485.0;0;0;1;263.0
Glashütte Original;Automatic;Gold/Steel;Textile;2024.0;New;Original box, original papers;Men's watch/Unisex;11850.0;Item is in stock;Circular;732.4992000000001;30.0;Sapphire crystal;Grey;Grey;Fold clasp;1281.0;1384.0;1;1;1;798.0
Carl F. Bucherer;Automatic;Gold/Steel;Gold/Steel;;Like new & unworn;Original box, no original papers;;2107.0;Item is in stock;Circular;453.73;3.0;Sapphire crystal;White;Gold/Steel;Fold clasp;1408.0;712.0;0;0;1;958.0
Ebel;Quartz;Gold/Steel;Gold/Steel;;Like new & unworn;Original box, original papers;Women's watch;1750.0;Item is in stock;;;;;Mother of pearl;;;219.0;177.0;1;1;1;144.0
Hermès;Quartz;Gold/Steel;Ostrich skin;2000.0;Used (Very good);No original box, no original papers;Women's watch;962.0;Item is in stock;Circular;226.08;;;White;Bordeaux;Buckle;9.0;25.0;1;1;1;9.0
Cyma;Quartz;Yellow gold;;;Like new & unworn;No original box, no original papers;Women's watch;292.0;Item is in stock;Circular;305.525925;;;White;;Buckle;2998.0;9673.0;1;1;1;2049.0
Concord;Manual winding;White gold;Alligator skin;;Used (Very good);No original box, no original papers;Men's watch/Unisex;5999.0;Item is in stock;Rectangular;1247.0;;;;;;902.0;431.0;1;1;1;601.0
Porsche Design;Automatic;Titanium;Rubber;;New;Original box, original papers;Men's watch/Unisex;1022.0;Item needs to be procured;Circular;692.37;;;Black;Black;;295.0;433.0;0;1;1;190.0
Montblanc;Quartz;Steel;Steel;2017.0;Used (Good);No original box, no original papers;Women's watch;1000.0;Item is in stock;;;;;;;;171.0;106.0;0;0;1;118.0
Oris;Automatic;Steel;Steel;;Used (Very good);Original box, original papers;Men's watch/Unisex;2150.0;Item is in stock;Circular;725.7325000000001;10.0;Sapphire crystal;Black;Silver;Buckle;3087.0;1595.0;0;1;1;2339.0
Montblanc;Automatic;Steel;Steel;2022.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;2800.0;Item is in stock;Circular;692.37;;;Black;Steel;;;;0;0;0;
Parmigiani Fleurier;Manual winding;Steel;;;New;Original box, original papers;Men's watch/Unisex;9950.0;Item is in stock;Rectangular;1662.8400000000001;3.0;Sapphire crystal;Silver;Brown;Fold clasp;2206.0;137.0;1;1;1;1611.0
Girard Perregaux;Automatic;Steel;Crocodile skin;;New;Original box, original papers;;9700.0;Item is in stock;Circular;759.88;;;;;;133.0;408.0;1;1;1;98.0
Norqain;Automatic;Steel;Leather;;Like new & unworn;Original box, original papers;Men's watch/Unisex;3790.0;Item is in stock;Rectangular;1886.0;10.0;Sapphire crystal;Black;Brown;Buckle;1420.0;1844.0;1;0;1;876.0
Bertolucci;Quartz;;Textile;;Used (Very good);No original box, no original papers;;4945.0;Item is in stock;Circular;113.4325;;;Brown;;;171.0;215.0;1;0;1;121.0
Helvetia;Manual winding;;Leather;1930.0;Used (Fair);No original box, no original papers;Men's watch/Unisex;1675.0;Item is in stock;Circular;659.7925;;Mineral Glass;Black;Green;Buckle;404.0;52.0;1;1;1;308.0
Ikepod;Automatic;Steel;Rubber;2010.0;Like new & unworn;No original box, no original papers;Men's watch/Unisex;2409.0;Item is in stock;Circular;566.77;;;White;Orange;;;;0;0;0;
Victorinox Swiss Army;Quartz;Steel;Steel;;Like new & unworn;No original box, no original papers;;216.0;Item is in stock;Circular;692.37;10.0;;Black;Steel;Fold clasp;1408.0;712.0;0;0;1;958.0
NOMOS;Manual winding;Steel;Leather;;Like new & unworn;No original box, no original papers;Men's watch/Unisex;1383.0;Item is in stock;Circular;551.953125;3.0;Sapphire crystal;White;Black;Buckle;722.0;500.0;1;0;1;548.0
