Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Water resistance;Crystal;Dial;Bracelet color;Clasp;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews
Laco;Manual winding;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;1833.0;Item is in stock;Circular;708.953125;10.0;Sapphire crystal;Black;Brown;Buckle;428.0;89.0;0;1;1;348.0
Chronographe Suisse Cie;Manual winding;Yellow gold;Leather;1960.0;Used (Good);No original box, no original papers;Men's watch/Unisex;1166.0;Item is in stock;Circular;537.3325;;;;Black;;;;0;0;0;
Parmigiani Fleurier;Automatic;Steel;;;Like new & unworn;Original box, original papers;Men's watch/Unisex;14950.0;Item is in stock;Circular;628.0;3.0;Sapphire crystal;Skeletonized;Black;Fold clasp;2206.0;140.0;1;1;1;1611.0
Jaeger-LeCoultre;Automatic;;;;Used (Very good);Original box, original papers;Men's watch/Unisex;4900.0;Item is in stock;Circular;675.983125;10.0;Sapphire crystal;Black;;;957.0;509.0;0;0;1;808.0
Fossil;Quartz;Steel;Leather;2016.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;97.0;Item is in stock;Circular;981.25;10.0;;Black;Black;;;;0;0;0;
Harry Winston;;;;;Used (Very good);Original box, original papers;Men's watch/Unisex;11550.0;Item needs to be procured;Circular;692.37;3.0;Sapphire crystal;;;Fold clasp;778.0;989.0;1;1;1;524.0
Poljot;Automatic;Steel;Leather;2010.0;New;Original box, original papers;Men's watch/Unisex;465.0;Item is in stock;Rectangular;1320.0;3.0;Mineral Glass;;Blue;Buckle;2054.0;480.0;1;1;1;1420.0
Carl F. Bucherer;Automatic;White gold;White gold;;New;Original box, no original papers;Men's watch/Unisex;10312.0;Item is in stock;;;;;;;;100.0;1753.0;0;1;1;83.0
Victorinox Swiss Army;Quartz;Steel;Leather;;Like new & unworn;No original box, no original papers;;216.0;Item is in stock;Circular;692.37;10.0;;White;Black;;1408.0;702.0;0;0;1;958.0
Carl F. Bucherer;Automatic;Steel;Steel;2020.0;Used (Very good);Original box, original papers;Men's watch/Unisex;3300.0;Item is in stock;Circular;508.68;5.0;Sapphire crystal;Silver;Steel;Double-fold clasp;467.0;292.0;1;1;1;305.0
;;;;;;;;;;;;;;;;;;;0;0;0;
Mercury;Automatic;Steel;Steel;2023.0;New;Original box, original papers;Men's watch/Unisex;2512.0;Item is in stock;;;10.0;Sapphire crystal;Black;Black;Double-fold clasp;1.0;42.0;0;1;1;
Locman;;Steel;Rubber;;Like new & unworn;Original box, original papers;Men's watch/Unisex;472.0;Item is in stock;;;;;Black;Black;;;;0;0;0;
Spinnaker;Automatic;Steel;Leather;2022.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;266.0;Item is in stock;Rectangular;2100.0;30.0;Sapphire crystal;Blue;Blue;Buckle;;;0;0;0;
ZRC;Automatic;Steel;Calf skin;2015.0;Used (Very good);Original box, original papers;Men's watch/Unisex;2386.0;Item is in stock;Rectangular;1960.0;;;Black;Black;;;;0;0;0;
Montblanc;Automatic;Steel;Leather;;Used (Very good);Original box, original papers;;3950.0;Item is in stock;Circular;692.37;;;Black;Brown;;895.0;538.0;1;1;1;696.0
Damasko;Automatic;;Rubber;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;;;Circular;596.9925000000001;;;;Black;;;;0;0;0;
Pierre Balmain;Quartz;Steel;Leather;2005.0;Used (Good);Original box, no original papers;Men's watch/Unisex;352.0;Item is in stock;Rectangular;1092.0;3.0;Sapphire crystal;Black;Black;;;;0;0;0;
Tutima;Automatic;Steel;Steel;;Used (Very good);No original box, no original papers;Men's watch/Unisex;3904.0;Item is in stock;;;;Sapphire crystal;Black;;;23.0;19.0;0;1;1;15.0
Ublast;Automatic;;;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;456.0;Item is in stock;Rectangular;540.0;;;;;;;;0;0;0;
Bulova;Automatic;Steel;Leather;2022.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;750.0;Item is in stock;Circular;692.37;;;;Brown;Double-fold clasp;;;0;0;0;
Rolex;Automatic;Steel;Steel;1991.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;7995.0;Item is in stock;Circular;628.0;120.0;Sapphire crystal;Black;Steel;Fold clasp;523.0;50.0;1;1;1;332.0
Eterna;Automatic;Steel;Leather;1942.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;785.0;Item is in stock;Rectangular;1353.0;;Plastic;Silver;Black;Buckle;1393.0;1105.0;1;1;1;862.0
Heuer;Manual winding;Steel;Rubber;;Used (Good);No original box, no original papers;Men's watch/Unisex;2489.0;Item is in stock;Circular;508.68;;;Silver;Black;;6080.0;1208.0;1;1;1;4244.0
Edox;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;2050.0;Item needs to be procured;Circular;692.37;30.0;Sapphire crystal;Blue;Silver;Fold clasp;428.0;89.0;0;1;1;348.0
B.R.M;Automatic;Titanium;Leather;;Used (Very good);Original box, no original papers;Men's watch/Unisex;5245.0;Item needs to be procured;;;10.0;Sapphire crystal;;Black;;517.0;629.0;0;1;1;378.0
Hanhart;Manual winding;Steel;Leather;2023.0;New;Original box, original papers;Men's watch/Unisex;965.0;Item available on request;Circular;581.783125;5.0;Sapphire crystal;Black;Black;Buckle;251.0;333.0;0;1;1;182.0
Patek Philippe;Automatic;White gold;Leather;;Used (Good);Original box, no original papers;Men's watch/Unisex;65000.0;Item is in stock;Rectangular;1520.0;6.0;Sapphire crystal;Black;Black;Fold clasp;54.0;162.0;1;1;1;41.0
Pequignet;Quartz;Steel;Leather;1999.0;Used (Very good);No original box, no original papers;Women's watch;380.0;Item is in stock;Rectangular;735.0;3.0;Sapphire crystal;Black;Black;;;;0;0;0;
Alexander Shorokhoff;Manual winding;Steel;Leather;2021.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;3571.0;Item is in stock;Rectangular;2193.08;5.0;Sapphire crystal;Silver;Black;Buckle;;;0;0;0;
Sector;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Men's watch/Unisex;183.0;Item is in stock;Circular;794.8125;5.0;Mineral Glass;;Gold;;14642.0;5556.0;1;1;1;7436.0
De Grisogono;Automatic;;Leather;;Used (Good);No original box, no original papers;Women's watch;14316.0;Item needs to be procured;Circular;427.4325;3.0;;;;;118.0;1384.0;1;1;1;116.0
Sector;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Men's watch/Unisex;194.0;Item is in stock;Circular;659.7925;10.0;Mineral Glass;Black;Black;Fold clasp;14642.0;5556.0;1;1;1;7436.0
Heuer;Manual winding;Steel;Steel;1980.0;;No original box, no original papers;Men's watch/Unisex;5000.0;Item available on request;Circular;596.9925000000001;;;Black;Steel;Fold clasp;0.0;378.0;0;0;1;
Vulcain;Manual winding;Steel;Rubber;;Like new & unworn;Original box, original papers;Men's watch/Unisex;3443.0;Item is in stock;Circular;759.88;;;Black;Black;;;;0;0;0;
Movado;Quartz;Steel;Steel;2015.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;637.0;Item is in stock;Circular;692.37;20.0;Sapphire crystal;Black;;Fold clasp;245.0;43.0;1;0;1;112.0
Rotary;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Men's watch/Unisex;270.0;Item is in stock;Circular;566.77;5.0;Mineral Glass;Silver;Gold;Double-fold clasp;14642.0;5556.0;1;1;1;7436.0
Edox;Automatic;;Steel;;New;Original box, original papers;Men's watch/Unisex;979.0;Item is in stock;Circular;692.37;30.0;Sapphire crystal;Grey;Silver;;376.0;451.0;0;0;1;233.0
Pryngeps;Automatic;Steel;Steel;1990.0;Used (Very good);Original box, original papers;Men's watch/Unisex;;;Circular;628.0;10.0;Mineral Glass;Black;Steel;Fold clasp, hidden;;;0;0;0;
Lucien Rochat;Automatic;Steel;Leather;1970.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;857.0;Item is in stock;Rectangular;1638.0;5.0;Mineral Glass;Black;Green;Buckle;29.0;291.0;1;0;1;20.0
Paul Picot;Automatic;Gold-plated;Leather;1980.0;Used (Good);No original box, no original papers;Men's watch/Unisex;1399.0;Item is in stock;Rectangular;1710.0;3.0;Plexiglass;Black;;;29.0;291.0;1;0;1;20.0
Michele;Quartz;Steel;Steel;;New;Original box, no original papers;Women's watch;1795.0;Item is in stock;Circular;508.68;5.0;Sapphire crystal;Silver;Steel;Fold clasp;977.0;952.0;1;1;1;573.0
Tecnotempo;Automatic;Steel;Leather;;Like new & unworn;Original box, original papers;Men's watch/Unisex;3927.0;Item is in stock;Rectangular;656.0;;;Black;Black;;;;0;0;0;
Harry Winston;Quartz;White gold;Crocodile skin;2018.0;Used (Very good);Original box, original papers;Women's watch;7065.0;Item is in stock;Rectangular;503.87999999999994;;;Silver;;;2889.0;700.0;0;1;1;2092.0
Arnold & Son;;Steel;Leather;;Used (Good);Original box, original papers;Men's watch/Unisex;9739.0;Item needs to be procured;Circular;675.983125;;;Skeletonized;;;180.0;139.0;0;1;1;141.0
NOMOS;Manual winding;Steel;Leather;2001.0;Used (Very good);Original papers, no original box;Men's watch/Unisex;1193.0;Item is in stock;Circular;480.8125;3.0;Sapphire crystal;Silver;Black;Buckle;164.0;52.0;0;1;1;139.0
Daniel Roth;Manual winding;White gold;White gold;;Used (Very good);Original papers, no original box;Men's watch/Unisex;10520.0;Item needs to be procured;Rectangular;821.03;;;Mother of pearl;;;921.0;3466.0;1;1;1;789.0
Tissot;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;579.0;Item is in stock;;;;;Green;;;1177.0;323.0;1;1;1;671.0
Bell & Ross;Automatic;Ceramic;Rubber;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;3950.0;Item is in stock;Circular;692.37;10.0;Sapphire crystal;Black;Black;Buckle;306.0;152.0;1;0;1;242.0
Azimuth;Manual winding;Steel;Leather;2013.0;Used (Good);Original box, original papers;Men's watch/Unisex;4575.0;Item is in stock;Circular;794.8125;;Sapphire crystal;Black;Black;Double-fold clasp;2439.0;593.0;0;1;1;1697.0
Blancpain;Automatic;Steel;Steel;2023.0;New;Original box, original papers;Men's watch/Unisex;;Item available on request;Circular;725.7325000000001;30.0;Sapphire crystal;Grey;Steel;Fold clasp;1281.0;1383.0;1;1;1;801.0
Carl F. Bucherer;Quartz;Gold-plated;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;245.0;Item is in stock;;;;;White;Black;Buckle;;;0;0;0;
Zenith;Automatic;Titanium;;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;9790.0;Item is in stock;Circular;537.3325;;Sapphire crystal;Blue;Blue;Buckle;3534.0;2957.0;1;1;1;2000.0
Ralf Tech;Automatic;Steel;Plastic;2024.0;New;Original box, original papers;Men's watch/Unisex;1518.0;Item is in stock;Circular;596.9925000000001;20.0;Sapphire crystal;Blue;Black;Buckle;374.0;87.0;1;1;1;327.0
Wyler Vetta;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Women's watch;;Item is in stock;Circular;480.8125;10.0;Sapphire crystal;Blue;Steel;Fold clasp;5035.0;857.0;0;1;1;3909.0
Chaumet;Quartz;Yellow gold;Leather;;Used (Good);No original box, no original papers;Women's watch;6413.0;Item needs to be procured;Rectangular;437.0;;Sapphire crystal;;Blue;;517.0;629.0;0;1;1;378.0
TAG Heuer;Automatic;Steel;Steel;2024.0;New;Original box, no original papers;Men's watch/Unisex;2211.0;Item is in stock;Circular;628.0;20.0;Sapphire crystal;Blue;Steel;Fold clasp;324.0;660.0;1;1;1;225.0
Sarcar;Manual winding;Yellow gold;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;13835.0;Item needs to be procured;Rectangular;840.0;;;;;;441.0;2417.0;0;1;1;323.0
Tiffany;Automatic;Steel;;;Used (Fair);No original box, no original papers;;1401.0;Item needs to be procured;Circular;551.953125;;;;Gold;;232.0;614.0;0;1;1;170.0
TW Steel;Quartz;Steel;Calf skin;;Like new & unworn;Original box, original papers;Women's watch;144.0;Item is in stock;Circular;566.77;10.0;Mineral Glass;Mother of pearl;Brown;Buckle;14642.0;5556.0;1;1;1;7436.0
Roamer;Automatic;Steel;Steel;;Used (Good);No original box, no original papers;;183.0;Item is in stock;Circular;189.97;;;;Steel;;2047.0;2295.0;1;1;1;1430.0
Chronoswiss;Automatic;Steel;Leather;;Used (Very good);No original box, no original papers;Men's watch/Unisex;2835.0;Item is in stock;Circular;566.77;10.0;Sapphire crystal;Black;Black;Buckle;35.0;69.0;0;1;1;30.0
Chronoswiss;Automatic;Steel;Leather;2009.0;Used (Very good);Original box, original papers;Men's watch/Unisex;3894.0;Item is in stock;Rectangular;2044.0;3.0;Sapphire crystal;Silver;Black;Buckle;742.0;103.0;1;0;1;626.0
Breguet;Automatic;White gold;Crocodile skin;2006.0;Used (Very good);Original papers, no original box;Men's watch/Unisex;;Item needs to be procured;Circular;508.68;3.0;Sapphire crystal;Silver;Black;Double-fold clasp;12.0;179.0;1;1;1;9.0
Glashütte Original;Automatic;Steel;Crocodile skin;2023.0;New;Original box, original papers;Men's watch/Unisex;15950.0;Item is in stock;Circular;692.37;;;Blue;;;271.0;148.0;1;1;1;204.0
Longines;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;1650.0;Item is in stock;Circular;566.77;10.0;Sapphire crystal;Blue;Steel;Fold clasp;1177.0;323.0;1;1;1;671.0
Ingersoll;Automatic;Steel;Calf skin;;Like new & unworn;Original box, original papers;Men's watch/Unisex;379.0;Item is in stock;Circular;725.7325000000001;10.0;Mineral Glass;Black;Black;Buckle;14642.0;5556.0;1;1;1;7436.0
Mido;Automatic;;Textile;;Used (Very good);Original box, original papers;Men's watch/Unisex;1375.0;Item is in stock;;;;;Black;;;175.0;1790.0;0;1;1;127.0
Paul Picot;Automatic;Steel;Silver;;Like new & unworn;Original box, no original papers;Men's watch/Unisex;3106.0;Item is in stock;;;5.0;Sapphire crystal;Black;Silver;Fold clasp;1369.0;881.0;1;0;1;939.0
Vacheron Constantin;Automatic;Steel;Steel;;Used (Very good);Original papers, no original box;Men's watch/Unisex;15749.0;Item is in stock;Circular;692.37;15.0;Sapphire crystal;Silver;Steel;Fold clasp;124.0;219.0;1;1;1;88.0
Leonidas;Manual winding;Rose gold;Leather;;Used (Good);No original box, no original papers;Men's watch/Unisex;3254.0;Item is in stock;Circular;537.3325;;Plexiglass;Silver;Brown;Buckle;1328.0;544.0;1;1;1;946.0
Krieger;Quartz;;;;Used (Very good);No original box, no original papers;Men's watch/Unisex;841.0;Item is in stock;Circular;692.37;;;Blue;Blue;Buckle;22.0;334.0;1;1;1;15.0
Grand Seiko;Automatic;Steel;Steel;2020.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;8000.0;Item is in stock;;;10.0;Sapphire crystal;Red;Steel;Fold clasp;701.0;1840.0;0;1;1;455.0
Raketa;Manual winding;Steel;Steel;1970.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;423.0;Item is in stock;Circular;596.9925000000001;;;Silver (solid);Silver;;78.0;207.0;0;0;1;55.0
IWC;Automatic;Rose gold;Crocodile skin;2006.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;7950.0;Item is in stock;Circular;566.77;;Sapphire crystal;Black;Black;Buckle;24.0;60.0;0;1;1;22.0
Perrelet;;Steel;Rubber;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;3861.0;Item is in stock;Rectangular;752.0;30.0;Sapphire crystal;Black;Black;Buckle;;;0;0;0;
Ball;Automatic;Steel;Steel;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;2500.0;Item is in stock;Circular;675.983125;30.0;Sapphire crystal;Black;Steel;Double-fold clasp;;;0;0;0;
Certina;Automatic;;Leather;1960.0;Used (Good);No original box, no original papers;Men's watch/Unisex;434.0;Item is in stock;Rectangular;1258.0;;Plexiglass;Champagne;Brown;Buckle;16.0;22.0;1;1;1;10.0
Frederique Constant;Automatic;Steel;Steel;2022.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;2161.0;Item is in stock;Circular;659.7925;5.0;Sapphire crystal;Skeletonized;;Fold clasp;39.0;10.0;1;1;1;31.0
Swatch;Quartz;Ceramic;Textile;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;488.0;Item is in stock;Circular;692.37;3.0;Plexiglass;Black;Black;Fold clasp;;;0;0;0;
Luminox;Quartz;Carbon;Rubber;;Like new & unworn;Original box, original papers;Men's watch/Unisex;245.0;Item is in stock;Circular;596.9925000000001;10.0;Mineral Glass;White;White;;219.0;177.0;1;1;1;144.0
TAG Heuer;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;2189.0;Item is in stock;Circular;725.7325000000001;30.0;Sapphire crystal;Blue;Silver;Fold clasp;5.0;42.0;1;0;1;5.0
Aquanautic;Quartz;Steel;Crocodile skin;2015.0;New;No original box, no original papers;Women's watch;5588.0;Item is in stock;;;;;;;;141.0;28.0;1;1;1;97.0
Cyma;Quartz;Yellow gold;Leather;;Like new & unworn;No original box, no original papers;Women's watch;293.0;Item is in stock;Circular;353.25;;;Gold;;Buckle;3000.0;9676.0;1;1;1;2051.0
Vostok;Manual winding;;Leather;1988.0;Used (Good);No original box, no original papers;Men's watch/Unisex;650.0;Item is in stock;Rectangular;1760.0;;;Black;Black;;1433.0;1140.0;0;0;1;1031.0
Grand Seiko;Automatic;Steel;;;Used (Very good);Original box, original papers;Men's watch/Unisex;2599.0;Item is in stock;Circular;596.9925000000001;;;;;;902.0;440.0;1;1;1;602.0
Mauboussin;Automatic;White gold;Ceramic;2015.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;5206.0;Item is in stock;Circular;659.7925;;;White;Black;;;;0;0;0;
Benzinger;Manual winding;White gold;Crocodile skin;;New;Original box, original papers;Men's watch/Unisex;30367.0;Item available on request;Circular;692.37;;Sapphire crystal;Blue;Black;Fold clasp;566.0;993.0;1;1;1;448.0
Christopher Ward;Automatic;;Steel;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;1047.0;Item is in stock;Circular;508.68;;;;Steel;;;;0;0;0;
;;;;;;;;;;;;;;;;;;;0;0;0;
Breguet;Automatic;Steel;Rubber;;Used (Very good);No original box, no original papers;Men's watch/Unisex;13300.0;Item needs to be procured;Circular;692.37;10.0;Sapphire crystal;Silver;Black;Fold clasp;89.0;684.0;0;1;1;69.0
B.R.M;Automatic;;Rubber;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;3362.0;Item is in stock;Circular;759.88;;;;Black;;;;0;0;0;
Bruno Söhnle;Manual winding;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;2923.0;Item is in stock;Circular;692.37;5.0;Sapphire crystal;Silver;Grey;Buckle;7780.0;1384.0;1;0;1;5149.0
Angelus;Manual winding;;Leather;1940.0;Used (Very good);No original box, no original papers;;5802.0;Item is in stock;Circular;566.77;;;Silver;;;158.0;237.0;1;1;1;118.0
Damasko;Automatic;Steel;Calf skin;2024.0;New;Original box, original papers;Men's watch/Unisex;4230.0;Item is in stock;Circular;628.0;10.0;Sapphire crystal;Black;Black;Buckle;1474.0;337.0;1;1;1;1090.0
Norqain;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;4501.0;Item is in stock;Circular;628.0;10.0;Sapphire crystal;Blue;Steel;Fold clasp;325.0;145.0;1;1;1;295.0
Michael Kors;Quartz;Steel;Steel;2016.0;Like new & unworn;Original box, original papers;Women's watch;161.0;Item is in stock;Circular;725.7325000000001;;;Blue;Gold/Steel;;;;0;0;0;
Raymond Weil;Quartz;Sapphire crystal;Steel;1991.0;Used (Good);No original box, no original papers;Men's watch/Unisex;300.0;Item is in stock;;;;;Black;Steel;;;;0;0;0;
Raketa;Manual winding;;Leather;1975.0;Used (Good);No original box, no original papers;Men's watch/Unisex;205.0;Item is in stock;Rectangular;1287.0;;;Silver (solid);Black;;1433.0;1140.0;0;0;1;1031.0
Davidoff;Quartz;Steel;Steel;;New;Original box, no original papers;Women's watch;630.0;Item is in stock;Circular;353.25;5.0;Sapphire crystal;Mother of pearl;Silver;;1425.0;1838.0;1;0;1;879.0
Fossil;Quartz;Steel;Steel;2018.0;Used (Good);Original box, no original papers;Men's watch/Unisex;57.0;Item is in stock;Circular;692.37;;;Black;Steel;;;;0;0;0;
Eberhard & Co.;Automatic;Steel;Leather;2005.0;New;Original box, original papers;Men's watch/Unisex;3894.0;Item is in stock;Circular;596.9925000000001;3.0;Sapphire crystal;Black;Brown;Buckle;52.0;27.0;1;1;1;39.0
Enicar;Manual winding;Steel;;1965.0;Used (Very good);No original box, no original papers;;4284.0;Item is in stock;Circular;537.3325;;Plexiglass;;;;849.0;403.0;0;1;1;514.0
Lemania;Automatic;Steel;Leather;1963.0;Used (Good);No original box, no original papers;Men's watch/Unisex;1030.0;Item is in stock;Circular;494.648125;;Plexiglass;Silver;Black;Buckle;416.0;28.0;1;1;1;309.0
Armani;Quartz;Steel;Steel;2019.0;New;Original box, original papers;Women's watch;309.0;Item needs to be procured;Circular;189.97;1.0;Sapphire crystal;Mother of pearl;Steel;Fold clasp;5467.0;4128.0;0;1;1;3308.0
Tissot;Quartz;Steel;Leather;2022.0;New;Original box, original papers;Men's watch/Unisex;375.0;Item is in stock;Circular;794.8125;10.0;Sapphire crystal;Black;Black;Buckle;1425.0;1838.0;1;0;1;879.0
Favre-Leuba;Automatic;Steel;Leather;2022.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;1300.0;Item is in stock;Rectangular;805.0;;;Black;Brown;;;;0;0;0;
;;;;;;;;;;;;;;;;;;;0;0;0;
Lacoste;Quartz;Plastic;;;Like new & unworn;Original box, original papers;Men's watch/Unisex;103.0;Item is in stock;Circular;725.7325000000001;5.0;Mineral Glass;Blue;Blue;Buckle;14642.0;5556.0;1;1;1;7436.0
Armani;Quartz;;;;Like new & unworn;Original box, original papers;Men's watch/Unisex;206.0;Item is in stock;Circular;725.7325000000001;;;;;;;;0;0;0;
Formex;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;1529.0;Item needs to be procured;Rectangular;1755.0;10.0;Sapphire crystal;Black;Black;Fold clasp;1076.0;1328.0;1;1;1;944.0
Burberry;Quartz;Steel;;2024.0;Like new & unworn;Original box, original papers;Women's watch;260.0;Item is in stock;Circular;307.72;;;Silver;;;;;0;0;0;
Harry Winston;Automatic;Rose gold;Leather;;Like new & unworn;Original box, original papers;Men's watch/Unisex;14500.0;Item is in stock;Circular;692.37;3.0;Sapphire crystal;Black;Black;Buckle;266.0;1471.0;1;0;1;196.0
Waltham;Manual winding;Gold/Steel;;1908.0;Used (Good);No original box, no original papers;Men's watch/Unisex;395.0;Item is in stock;Rectangular;2184.0;;;;;;1393.0;1105.0;1;1;1;862.0
Edox;Automatic;;Leather;;Like new & unworn;Original box, original papers;Men's watch/Unisex;677.0;Item is in stock;Rectangular;1710.0;30.0;Sapphire crystal;Green;Green;;482.0;579.0;1;1;1;383.0
ck Calvin Klein;Quartz;Steel;Leather;2022.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;103.0;Item is in stock;Circular;692.37;;;;Black;;;;0;0;0;
Chronoswiss;Automatic;Steel;Alligator skin;;Used (Very good);Original box, original papers;Men's watch/Unisex;2450.0;Item is in stock;Circular;566.77;;;White;Brown;;;;0;0;0;
Bell & Ross;Automatic;Steel;Textile;2014.0;Used (Very good);Original box, original papers;Men's watch/Unisex;4700.0;Item is in stock;Circular;725.7325000000001;10.0;Sapphire crystal;Black;Orange;Buckle;239.0;310.0;1;0;1;188.0
Eberhard & Co.;Manual winding;Steel;Crocodile skin;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;3579.0;Item is in stock;Circular;659.7925;3.0;Sapphire crystal;Silver;Black;Buckle;20.0;201.0;1;1;1;13.0
;;;;;;;;;;;;;;;;;;;0;0;0;
Tecnotempo;Automatic;Steel;Steel;2023.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;976.0;Item is in stock;Circular;659.7925;20.0;Sapphire crystal;;Steel;;;;0;0;0;
Orient;Automatic;;Leather;;New;Original box, original papers;Men's watch/Unisex;174.0;Item is in stock;Circular;725.7325000000001;5.0;Mineral Glass;Grey;Brown;;376.0;451.0;0;0;1;233.0
Raketa;Manual winding;Steel;Leather;1970.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;423.0;Item is in stock;Circular;725.7325000000001;;;Blue;Steel;;78.0;207.0;0;0;1;55.0
Tonino Lamborghini;Quartz;;Steel;2020.0;Used (Very good);Original box, original papers;Men's watch/Unisex;813.0;Item is in stock;Rectangular;2021.0;;;Black;Gold;;;;0;0;0;
Bulgari;Quartz;Yellow gold;Yellow gold;;Used (Very good);No original box, no original papers;Men's watch/Unisex;3590.0;Item is in stock;Circular;427.4325;;;Black;Brown;;251.0;757.0;0;0;1;157.0
Oris;Automatic;Steel;Steel;;;Original box, original papers;;3425.0;Item is in stock;Circular;675.983125;30.0;Sapphire crystal;Blue;Steel;Fold clasp;1222.0;526.0;1;1;1;852.0
A. Lange & Söhne;Automatic;White gold;Rubber;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;49180.0;Item is in stock;Circular;643.798125;;Sapphire crystal;Grey;Black;Buckle;3534.0;2957.0;1;1;1;2000.0
Laurent Ferrier;Manual winding;Steel;;2020.0;Used (Very good);Original box, original papers;Men's watch/Unisex;41050.0;Item is in stock;Circular;628.0;;;;;;51.0;21.0;0;1;1;42.0
Swiss Military;Quartz;Steel;Steel;;Like new & unworn;Original box, original papers;Men's watch/Unisex;270.0;Item is in stock;Circular;725.7325000000001;10.0;Sapphire crystal;Grey;Gold;Fold clasp;14642.0;5556.0;1;1;1;7436.0
Laco;Manual winding;Steel;Leather;;Used (Good);No original box, no original papers;Men's watch/Unisex;423.0;Item is in stock;Circular;414.578125;;;;;;1007.0;224.0;1;1;1;634.0
Mido;Automatic;Steel;Textile;2021.0;Used (Very good);Original box, original papers;Men's watch/Unisex;720.0;Item is in stock;Rectangular;585.2;;;Black;Blue;;;;0;0;0;
Vacheron Constantin;Automatic;Steel;Steel;;Used (Very good);Original box, original papers;Men's watch/Unisex;30993.0;Item is in stock;Circular;659.7925;;Sapphire crystal;Blue;Steel;;1883.0;800.0;1;1;1;1200.0
Vulcain;Manual winding;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;2440.0;Item needs to be procured;Rectangular;1767.0;5.0;Sapphire crystal;Blue;Brown;Buckle;1076.0;1328.0;1;1;1;944.0
Technomarine;Quartz;Steel;Leather;2005.0;Used (Very good);Original box, original papers;Women's watch;1627.0;Item is in stock;Circular;596.9925000000001;10.0;;Pink;Black;Buckle;4.0;62.0;0;1;1;3.0
Technomarine;Quartz;Ceramic;Ceramic;2010.0;Like new & unworn;Original box, original papers;Women's watch;922.0;Item is in stock;Circular;307.72;3.0;Sapphire crystal;;Black;Fold clasp;403.0;19.0;1;1;1;352.0
Swiss Military;Quartz;Steel;Steel;;New;Original box, original papers;Men's watch/Unisex;433.0;Item is in stock;Circular;692.37;100.0;Mineral Glass;Black;Steel;Fold clasp;125.0;84.0;1;1;1;106.0
Venezianico;Automatic;Steel;Steel;2022.0;New;Original box, original papers;Men's watch/Unisex;;Item is in stock;Circular;628.0;10.0;Sapphire crystal;Grey;Steel;Double-fold clasp;819.0;334.0;1;1;1;672.0
Askania;Automatic;Steel;Leather;1999.0;Like new & unworn;No original box, no original papers;Women's watch;1300.0;Item is in stock;Circular;628.0;10.0;Sapphire crystal;Silver;Orange;Double-fold clasp;;;0;0;0;
