Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Crystal;Dial;Bracelet color;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews;age;is_modern;price_log;seller_reputation_score;scope_score;price_anomaly_low;price_anomaly_high;seller_consistent
Victorinox Swiss Army;Automatic;Steel;Steel;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;863.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;Black;Silver;580.0;419.0;0;0;0;448.0;2.0;1;6.761572768804055;0.0;3;0;0;1
Armin Strom;Automatic;Steel;Rubber;2020.0;Used (Very good);Original box, original papers;Men's watch/Unisex;7950.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;Blue;Black;3087.0;1595.0;0;1;1;2339.0;6.0;1;8.981052985901483;0.6666666666666666;3;0;0;1
Behrens;Automatic;Steel;Textile;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;7639.0;Item needs to be procured;Circular;692.37;Sapphire crystal;Black;Black;439.0;2400.0;0;1;1;320.0;3.0;1;8.941152882160566;0.6666666666666666;3;0;0;0
Harry Winston;Automatic;Steel;Rubber;2020.0;Used (Very good);Original box, original papers;Men's watch/Unisex;19750.0;Item needs to be procured;Circular;759.88;Sapphire crystal;Black;Black;265.0;927.0;0;1;1;175.0;6.0;1;9.890959401958858;0.6666666666666666;3;0;0;0
Audemars Piguet;Automatic;Titanium;Rubber;2018.5;Used (Very good);Original box, original papers;Men's watch/Unisex;28975.0;Item is in stock;Circular;692.37;Sapphire crystal;Grey;Grey;1123.0;543.0;1;1;1;852.0;7.5;1;10.274223180123194;1.0;3;0;0;1
Corum;Quartz;Yellow gold;Yellow gold;1980.0;Used (Very good);No original box, no original papers;Women's watch;7300.0;Item is in stock;Circular;173.0925;Sapphire crystal;Gold (solid);Black;75.0;150.0;1;1;1;68.0;46.0;0;8.895766604056085;1.0;0;0;0;0
Orient;Automatic;Steel;Steel;2023.0;New;Original box, original papers;Men's watch/Unisex;274.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;Black;Silver;376.0;466.0;0;0;1;233.0;3.0;1;5.616771097666572;0.3333333333333333;3;0;0;0
Piaget;Automatic;White gold;Leather;1985.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;30500.0;Item needs to be procured;Circular;692.37;Sapphire crystal;White;Black;1.0;41.0;0;1;1;448.0;41.0;0;10.32551474894327;0.6666666666666666;0;0;0;0
Lanco;Automatic;Steel;Leather;1975.0;Used (Good);Original box, no original papers;Men's watch/Unisex;303.0;Item is in stock;Circular;508.68;Plexiglass;Black;Black;580.0;419.0;0;0;0;448.0;51.0;0;5.717027701406222;0.0;2;0;0;1
HYT;Manual winding;Steel;Leather;2019.0;New;Original box, original papers;Men's watch/Unisex;48000.0;Item is in stock;Circular;934.7152;Sapphire crystal;Black;Black;955.0;514.0;0;0;1;807.0;7.0;1;10.778977123006351;0.3333333333333333;3;0;0;1
Lorus;Quartz;Steel;Steel;1994.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;99.0;Item is in stock;Circular;830.5300000000001;Mineral Glass;Black;Silver;14626.0;5541.0;1;1;1;7424.0;32.0;0;4.605170185988092;1.0;3;0;0;1
Pierre DeRoche;Automatic;Titanium;Crocodile skin;2014.0;New;Original box, original papers;Men's watch/Unisex;28629.0;Item available on request;Circular;885.578125;Sapphire crystal;Black;Black;566.0;994.0;1;1;1;448.0;12.0;1;10.262210398092162;1.0;3;0;0;0
Revue Thommen;Automatic;Steel;Leather;2022.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;1578.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;1369.0;885.0;1;0;1;939.0;4.0;1;7.364547014255642;0.6666666666666666;2;0;0;1
Cvstos;Automatic;Steel;Rubber;2021.0;Used (Good);Original papers, no original box;Men's watch/Unisex;3880.0;Item is in stock;Circular;659.7925;Sapphire crystal;Skeletonized;Black;17850.0;12069.0;1;1;1;12521.0;5.0;1;8.263848131368906;1.0;1;0;0;1
Van Der Bauwede;Quartz;Steel;Steel;2017.0;New;Original box, original papers;Women's watch;648.0;Item is in stock;Circular;692.37;Sapphire crystal;White;Silver;1.0;45.0;0;0;1;448.0;9.0;1;6.47543271670409;0.3333333333333333;3;0;0;0
Hermès;Quartz;Steel;Crocodile skin;2021.0;New;Original box, original papers;Women's watch;9950.0;Item is in stock;Circular;692.37;Sapphire crystal;White;Black;304.0;152.0;1;0;1;242.0;5.0;1;9.205428327615163;0.6666666666666666;3;0;0;1
Heuer;Quartz;Steel;Leather;1974.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;7849.0;Item is in stock;Circular;2310.0;Plexiglass;Black;Black;172.0;243.0;0;0;1;135.0;52.0;0;8.968268810776454;0.3333333333333333;0;0;0;0
Carl F. Bucherer;Automatic;Steel;Steel;2020.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;4000.0;Item is in stock;Circular;628.0;Sapphire crystal;Silver;Black;1604.0;1677.0;1;1;1;1147.0;6.0;1;8.294299608857235;1.0;2;0;0;0
Daniel Roth;Automatic;Steel;Ostrich skin;2009.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;9878.0;Item is in stock;Rectangular;1558.0;Sapphire crystal;Black;Grey;580.0;419.0;0;0;0;448.0;17.0;1;9.198166571044474;0.0;3;0;0;1
Linde Werdelin;Automatic;Steel;Rubber;2010.0;Used (Good);No original box, no original papers;Men's watch/Unisex;3943.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;4.0;16.0;0;1;1;3.0;16.0;1;8.279950715722526;0.6666666666666666;0;0;0;0
Ebel;Quartz;Steel;Steel;2000.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;900.0;Item is in stock;Circular;659.7925;Sapphire crystal;Blue;Steel;219.0;177.0;1;1;1;144.0;26.0;1;6.803505257608338;1.0;3;0;0;1
Elgin;Manual winding;Gold/Steel;Leather;1907.0;Used (Good);No original box, no original papers;Men's watch/Unisex;235.0;Item is in stock;Rectangular;1739.0;Sapphire crystal;White;Black;1391.0;1102.0;1;1;1;860.0;119.0;0;5.4638318050256105;1.0;0;0;0;1
Epos;Automatic;Steel;Rubber;2019.0;New;Original box, original papers;Men's watch/Unisex;852.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;1734.0;2943.0;0;1;1;1284.0;7.0;1;6.748759547491679;0.6666666666666666;3;0;0;0
Nivada;Manual winding;Steel;Leather;1970.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;4321.0;Item is in stock;Rectangular;1716.0;Mineral Glass;Black;Black;293.0;78.0;1;1;1;245.0;56.0;0;8.371473537066832;1.0;2;0;0;1
Union Glashütte;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;2647.0;Item is in stock;Circular;794.8125;Sapphire crystal;Blue;Steel;723.0;497.0;1;0;1;548.0;2.0;1;7.881559917056899;0.6666666666666666;3;0;0;1
Formex;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;2420.0;Item needs to be procured;Rectangular;1974.0;Sapphire crystal;Black;Steel;1072.0;1397.0;1;1;1;940.0;2.0;1;7.791935956938058;1.0;3;0;0;0
Audemars Piguet;Automatic;Yellow gold;Yellow gold;2024.0;Used (Very good);Original box, original papers;Men's watch/Unisex;119999.0;Item is in stock;Circular;596.9925000000001;Sapphire crystal;Gold;Gold;77.0;136.0;1;1;1;67.0;2.0;1;11.695247021764184;1.0;3;0;0;0
Junghans;Automatic;Steel;Leather;2020.0;Used (Very good);Original box, original papers;Men's watch/Unisex;773.0;Item is in stock;Circular;566.77;Sapphire crystal;White;Grey;6076.0;1253.0;1;1;1;4239.0;6.0;1;6.651571873589727;1.0;3;0;0;1
L.Leroy;Manual winding;Silver;Leather;1912.0;Used (Very good);Original box, original papers;Men's watch/Unisex;15935.0;Item is in stock;Rectangular;2310.0;Sapphire crystal;White;Black;81.0;23.0;0;1;1;57.0;114.0;0;9.67633597982438;0.6666666666666666;3;0;0;1
Mb&f;Manual winding;Steel;Leather;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;82950.0;Item is in stock;Circular;628.0;Sapphire crystal;Blue;Brown;3087.0;1595.0;0;1;1;2339.0;3.0;1;11.326005351001017;0.6666666666666666;3;0;0;1
Dior;Automatic;Steel;Rubber;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;5160.0;Item needs to be procured;Circular;692.37;Sapphire crystal;Black;Black;517.0;630.0;0;1;1;378.0;3.0;1;8.548885638148727;0.6666666666666666;3;0;0;0
Technomarine;Quartz;Steel;Satin;2009.0;Like new & unworn;Original box, original papers;Women's watch;5942.0;Item is in stock;Rectangular;1000.0;Sapphire crystal;Silver;Black;580.0;419.0;0;0;0;448.0;17.0;1;8.68996933536666;0.0;3;0;0;1
Armani;Quartz;Ceramic;Ceramic;2018.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;140.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;8.0;1;4.948759890378168;0.0;2;0;0;1
Jaeger-LeCoultre;Automatic;Steel;Leather;2017.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;5795.0;Item is in stock;Circular;453.73;Sapphire crystal;Silver;Red;1504.0;573.0;1;1;1;1103.0;9.0;1;8.664923303440572;1.0;0;0;0;1
Christopher Ward;Automatic;Steel;Steel;2022.0;Used (Good);Original box, original papers;Men's watch/Unisex;956.0;Item is in stock;Circular;596.9925000000001;Sapphire crystal;Black;Steel;580.0;419.0;0;0;0;448.0;4.0;1;6.863803391452954;0.0;3;0;0;1
Doxa;Automatic;Steel;Plastic;2021.0;Used (Very good);Original box, original papers;Men's watch/Unisex;1996.0;Item is in stock;Circular;692.37;Sapphire crystal;Blue;Steel;218.0;26.0;1;0;1;145.0;5.0;1;7.599401333415815;0.6666666666666666;3;0;0;1
Gérald Genta;Automatic;White gold;Leather;2013.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;15500.0;Item is in stock;Circular;596.9925000000001;Sapphire crystal;White;Black;1153.0;337.0;1;1;1;858.0;13.0;1;9.648659816955295;1.0;0;0;0;1
Hamilton;Manual winding;Steel;Textile;2022.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;866.0;Item is in stock;Rectangular;1786.0;Sapphire crystal;Black;Beige;580.0;419.0;0;0;0;448.0;4.0;1;6.7650389767805414;0.0;3;0;0;1
Revue Thommen;Automatic;Steel;Calf skin;2011.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;859.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;15.0;1;6.756932389247553;0.0;2;0;0;1
Visconti;Automatic;Steel;Leather;2016.0;Used (Very good);Original box, original papers;Men's watch/Unisex;2450.0;Item is in stock;Circular;794.8125;Sapphire crystal;Grey;Grey;269.0;50.0;1;1;1;188.0;10.0;1;7.804251383528112;1.0;3;0;0;1
Audemars Piguet;Automatic;Rose gold;Crocodile skin;2021.0;New;Original box, original papers;Men's watch/Unisex;43950.0;Item is in stock;Circular;659.7925;Sapphire crystal;Brown;Brown;271.0;147.0;1;1;1;204.0;5.0;1;10.69083065598303;1.0;3;0;0;1
Hanhart;Automatic;Steel;Leather;2023.0;New;Original box, original papers;Men's watch/Unisex;1016.0;Item available on request;Circular;692.37;Sapphire crystal;White;Black;251.0;335.0;0;1;1;181.0;3.0;1;6.92461239604856;0.6666666666666666;3;0;0;0
Citizen;Automatic;Steel;Leather;2023.0;New;No original box, no original papers;Men's watch/Unisex;129.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;387.0;251.0;1;0;1;264.0;3.0;1;4.867534450455582;0.6666666666666666;0;0;0;1
Festina;Quartz;Steel;Steel;2015.5;Like new & unworn;Original box, original papers;Women's watch;96.0;Item is in stock;Circular;508.68;Mineral Glass;Blue;Silver;14626.0;5541.0;1;1;1;7424.0;10.5;1;4.574710978503383;1.0;3;0;0;1
Maurice Lacroix;Automatic;Steel;Steel;2021.0;Used (Very good);Original box, original papers;Men's watch/Unisex;1707.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;White;Steel;723.0;497.0;1;0;1;548.0;5.0;1;7.443078374348516;0.6666666666666666;3;0;0;1
Mb&f;Manual winding;Titanium;Rubber;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;189192.0;Item is in stock;Circular;692.37;Sapphire crystal;Green;Black;48.0;59.0;1;1;1;35.0;3.0;1;12.150522937029642;1.0;3;0;0;0
Oris;Automatic;Titanium;Rubber;2011.0;Used (Good);Original box, no original papers;Men's watch/Unisex;600.0;Item is in stock;Rectangular;500.25;Sapphire crystal;Green;Black;580.0;419.0;0;0;0;448.0;15.0;1;6.398594934535208;0.0;2;0;0;1
Versace;Quartz;Steel;Steel;2020.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;658.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;White;Gold;580.0;419.0;0;0;0;448.0;6.0;1;6.490723534502507;0.0;2;0;0;1
Mondaine;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;241.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;732.0;3495.0;0;1;1;410.0;2.0;1;5.488937726156687;0.6666666666666666;3;0;0;0
Frederique Constant;Automatic;Steel;Leather;2023.0;New;Original box, no original papers;Men's watch/Unisex;1349.0;Item is in stock;Circular;596.9925000000001;Sapphire crystal;Silver;Brown;1101.0;413.0;1;1;1;659.0;3.0;1;7.2078598714324755;1.0;2;0;0;1
Armani;Quartz;Steel;Calf skin;2019.0;Used (Very good);Original box, original papers;Men's watch/Unisex;214.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;Blue;Blue;580.0;419.0;0;0;0;448.0;7.0;1;5.3706380281276624;0.0;3;0;0;1
TW Steel;Quartz;Steel;Rubber;2013.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;269.0;Item is in stock;Circular;759.88;Mineral Glass;Black;Black;14626.0;5541.0;1;1;1;7424.0;13.0;1;5.598421958998375;1.0;3;0;0;1
Louis Moinet;Automatic;Titanium;Crocodile skin;2021.0;New;Original box, original papers;Men's watch/Unisex;11884.0;Item is in stock;Circular;742.708125;Sapphire crystal;Black;Blue;42.0;73.0;0;1;1;34.0;5.0;1;9.383032379794294;0.6666666666666666;3;0;0;0
TAG Heuer;Automatic;Steel;Steel;2008.0;Used (Fair);Original box, original papers;Men's watch/Unisex;2250.0;Item is in stock;Circular;659.7925;Sapphire crystal;Blue;Black;20.0;53.0;1;1;1;14.0;18.0;1;7.719129840906732;1.0;3;0;0;0
Girard Perregaux;Manual winding;Steel;Leather;2021.0;Used (Very good);Original box, original papers;Men's watch/Unisex;126000.0;Item needs to be procured;Circular;725.7325000000001;Sapphire crystal;Black;Black;777.0;980.0;1;1;1;524.0;5.0;1;11.744045122410057;1.0;3;0;0;0
Iron Annie;Automatic;Steel;Leather;2023.5;New;Original box, original papers;Men's watch/Unisex;539.0;Item is in stock;Circular;692.37;Sapphire crystal;Champagne;Brown;35.0;9.0;0;1;1;31.0;2.5;1;6.29156913955832;0.6666666666666666;3;0;0;1
Angelus;Manual winding;Steel;Leather;1950.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;299.0;Item is in stock;Circular;2207.8125;Sapphire crystal;Black;Black;902.0;431.0;1;1;1;601.0;76.0;0;5.703782474656201;1.0;2;0;0;1
H.Moser & Cie.;Automatic;Steel;Steel;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;33000.0;Item is in stock;Circular;702.2963249999999;Sapphire crystal;Blue;Steel;580.0;419.0;0;0;0;448.0;4.0;1;10.404293143019792;0.0;3;0;0;1
Meccaniche Veloci;Automatic;Titanium;Rubber;2010.0;Like new & unworn;No original box, no original papers;Men's watch/Unisex;1286.0;Item is in stock;Circular;759.88;Sapphire crystal;White;Black;580.0;419.0;0;0;0;448.0;16.0;1;7.160069207596127;0.0;0;0;0;1
ck Calvin Klein;Quartz;Steel;Leather;2018.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;140.0;Item is in stock;Circular;628.0;Sapphire crystal;White;Black;580.0;419.0;0;0;0;448.0;8.0;1;4.948759890378168;0.0;3;0;0;1
Chanel;Automatic;Steel;Ceramic;2019.5;Used (Good);Original papers, no original box;Men's watch/Unisex;2122.0;Item is in stock;Circular;566.77;Sapphire crystal;Black;Black;17850.0;12069.0;1;1;1;12521.0;6.5;1;7.660585461703256;1.0;1;0;0;1
Hermès;Quartz;Steel;Leather;2019.5;Used (Very good);Original box, no original papers;Women's watch;1575.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;174.0;1812.0;0;1;1;127.0;6.5;1;7.362645270417825;0.6666666666666666;2;0;0;0
Michele;Quartz;Steel;Steel;2023.0;New;Original box, original papers;Women's watch;1750.0;Item needs to be procured;Circular;692.37;Sapphire crystal;Mother of pearl;Gold;445.0;498.0;1;0;1;218.0;3.0;1;7.467942332285852;0.6666666666666666;3;0;0;0
Chopard;Quartz;Steel;Steel;2000.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;2300.0;Item is in stock;Circular;286.1325;Sapphire crystal;Black;Steel;467.0;300.0;1;1;1;305.0;26.0;1;7.741099090035366;1.0;0;0;0;1
Cyma;Quartz;Steel;Steel;1954.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;195.0;Item is in stock;Circular;453.73;Sapphire crystal;White;Silver;580.0;419.0;0;0;0;448.0;72.0;0;5.278114659230517;0.0;0;0;0;1
Aristo;Automatic;Steel;Calf skin;2023.0;New;Original box, original papers;Men's watch/Unisex;1077.0;Item is in stock;Rectangular;2310.0;Sapphire crystal;Black;Grey;670.0;125.0;1;1;1;448.0;3.0;1;6.982862751468942;1.0;3;0;0;1
Traser;Quartz;Steel;Steel;2024.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;582.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;14626.0;5541.0;1;1;1;7424.0;2.0;1;6.368187186350492;1.0;3;0;0;1
Chanel;Automatic;Steel;Ceramic;2019.5;Used (Good);Original box, original papers;Men's watch/Unisex;2171.0;Item is in stock;Circular;566.77;Sapphire crystal;Black;Black;17850.0;12069.0;1;1;1;12521.0;6.5;1;7.683403681053826;1.0;3;0;0;1
Erwin Sattler;Manual winding;Steel;Leather;2023.0;New;Original box, original papers;Men's watch/Unisex;10047.0;Item is in stock;Circular;692.37;Mineral Glass;Black;Black;9.0;54.0;0;1;1;8.0;3.0;1;9.21512888870798;0.6666666666666666;3;0;0;0
Chaumet;Quartz;Steel;Leather;2010.0;Used (Very good);No original box, no original papers;Women's watch;1995.0;Item is in stock;Circular;181.433125;Mineral Glass;Mother of pearl;Black;502.0;123.0;1;1;1;407.0;16.0;1;7.59890045687141;1.0;0;0;0;1
Perrelet;Automatic;Steel;Rubber;2021.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;2580.0;Item is in stock;Circular;759.88;Sapphire crystal;Black;Blue;580.0;419.0;0;0;0;448.0;5.0;1;7.855932199718614;0.0;2;0;0;1
Franck Muller;Automatic;Yellow gold;Leather;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;5000.0;Item is in stock;Rectangular;1440.0;Sapphire crystal;Silver;Black;1604.0;1677.0;1;1;1;1147.0;3.0;1;8.517393171418904;1.0;3;0;0;0
Pulsar;Quartz;Steel;Steel;1990.0;Like new & unworn;Original box, original papers;Women's watch;107.0;Item is in stock;Circular;353.25;Mineral Glass;Pink;Gold;14626.0;5541.0;1;1;1;7424.0;36.0;0;4.68213122712422;1.0;3;0;0;1
Union Glashütte;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;2107.0;Item needs to be procured;Circular;659.7925;Sapphire crystal;Green;Brown;3108.0;736.0;0;1;1;2199.0;2.0;1;7.653494909661253;0.6666666666666666;3;0;0;1
Vostok;Automatic;Steel;Leather;2020.0;New;Original box, original papers;Men's watch/Unisex;150.0;Item is in stock;Rectangular;560.0;Mineral Glass;Black;Silver;2053.0;483.0;1;1;1;1420.0;6.0;1;5.017279836814924;1.0;3;0;0;1
Oris;Automatic;Steel;Steel;2023.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;1460.0;Item is in stock;Rectangular;1551.25;Sapphire crystal;Turquoise;Steel;580.0;419.0;0;0;0;448.0;3.0;1;7.2868764117507;0.0;2;0;0;1
Cortébert;Manual winding;Steel;Leather;1960.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;211.0;Item is in stock;Circular;508.68;Sapphire crystal;Champagne;Black;580.0;419.0;0;0;0;448.0;66.0;0;5.356586274672012;0.0;0;0;0;1
Nivrel;Automatic;Steel;Leather;2010.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;914.0;Item is in stock;Rectangular;1517.0;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;16.0;1;6.818924065275521;0.0;0;0;0;1
Junghans;Automatic;Steel;Leather;2020.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;1488.0;Item is in stock;Circular;628.0;Sapphire crystal;Black;Silver;6076.0;1253.0;1;1;1;4239.0;6.0;1;7.305860032684009;1.0;0;0;0;1
Shinola;Automatic;Steel;Leather;2021.0;New;Original box, original papers;Men's watch/Unisex;1850.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;Black;Brown;1175.0;876.0;1;0;1;648.0;5.0;1;7.523481312573497;0.6666666666666666;3;0;0;1
Eterna;Automatic;Bronze;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;2647.0;Item is in stock;Circular;759.88;Sapphire crystal;Green;Brown;900.0;147.0;1;1;1;705.0;2.0;1;7.881559917056899;1.0;3;0;0;1
Jacques Lemans;Automatic;Steel;Steel;2024.0;Used (Very good);Original box, original papers;Women's watch;130.0;Item is in stock;Circular;692.37;Sapphire crystal;Bronze;Bronze;580.0;419.0;0;0;0;448.0;2.0;1;4.875197323201151;0.0;3;0;0;1
Gérald Genta;Quartz;Steel;Steel;2012.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;648.0;Item needs to be procured;Circular;453.73;Sapphire crystal;Pink;Steel;797.0;95.0;0;1;1;520.0;14.0;1;6.47543271670409;0.6666666666666666;0;0;0;1
Longines;Automatic;Gold/Steel;Steel;2024.0;New;Original box, no original papers;Men's watch/Unisex;3242.0;Item is in stock;Circular;596.9925000000001;Sapphire crystal;Black;Steel;323.0;657.0;1;1;1;222.0;2.0;1;8.084254106307318;1.0;2;0;0;0
Laco;Automatic;Steel;Calf skin;2024.0;New;Original box, original papers;Men's watch/Unisex;367.0;Item needs to be procured;Circular;692.37;Sapphire crystal;Black;Brown;1473.0;338.0;1;1;1;1088.0;2.0;1;5.908082938168931;1.0;3;0;0;1
Eterna;Automatic;Steel;Alligator skin;2010.0;Used (Good);Original box, no original papers;Men's watch/Unisex;1188.0;Item is in stock;Circular;537.3325;Sapphire crystal;Black;Bronze;580.0;419.0;0;0;0;448.0;16.0;1;7.080867896690782;0.0;2;0;0;1
Perseo;Automatic;Steel;Leather;2016.0;Used (Good);Original box, original papers;Men's watch/Unisex;539.0;Item is in stock;Circular;659.7925;Sapphire crystal;Black;Black;580.0;419.0;0;0;0;448.0;10.0;1;6.29156913955832;0.0;3;0;0;1
Waltham;Manual winding;Yellow gold;Yellow gold;1923.5;Used (Fair);No original box, no original papers;Men's watch/Unisex;2750.0;Item is in stock;Circular;830.5300000000001;Glass;White;Gold;63.0;98.0;0;0;1;40.0;102.5;0;7.919719760924575;0.3333333333333333;0;0;0;0
Enicar;Automatic;Steel;Leather;1970.0;Used (Good);No original box, no original papers;Men's watch/Unisex;3187.0;Item is in stock;Circular;718.9971999999999;Sapphire crystal;Black;Black;2999.0;9673.0;1;1;1;2049.0;56.0;0;8.067149039910106;1.0;0;0;0;0
Chanel;Quartz;Steel;Leather;1991.0;Used (Very good);Original box, original papers;Women's watch;2132.0;Item is in stock;Rectangular;500.0;Sapphire crystal;Black;Black;2888.0;667.0;0;1;1;2090.0;35.0;0;7.665284718471351;0.6666666666666666;3;0;0;1
Universal Genève;Automatic;Steel;Leather;1960.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;22000.0;Item is in stock;Circular;522.908125;Sapphire crystal;Black;Black;107.0;226.0;1;0;1;98.0;66.0;0;9.99884318585288;0.6666666666666666;0;0;0;0
Cartier;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;6400.0;Item is in stock;Circular;628.0;Sapphire crystal;Silver;Steel;32.0;44.0;1;1;1;22.0;2.0;1;8.764209507142004;1.0;3;0;0;0
Aquanautic;Quartz;Steel;Leather;2007.0;New;Original box, original papers;Women's watch;954.0;Item is in stock;Circular;427.4325;Sapphire crystal;Mother of pearl;Black;1035.0;5587.0;0;1;1;843.0;19.0;1;6.86171134048073;0.6666666666666666;3;0;0;0
Grand Seiko;Automatic;Steel;Crocodile skin;2022.0;Used (Very good);Original box, original papers;Men's watch/Unisex;3800.0;Item is in stock;Circular;612.398125;Sapphire crystal;Champagne;Brown;580.0;419.0;0;0;0;448.0;4.0;1;8.24301946898925;0.0;3;0;0;1
Ebel;Quartz;Gold/Steel;Gold/Steel;2000.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;1150.0;Item is in stock;Circular;566.77;Sapphire crystal;Grey;Gold;1420.0;1844.0;1;0;1;876.0;26.0;1;7.048386408721883;0.6666666666666666;0;0;0;0
Perrelet;Automatic;Steel;Rubber;2018.0;New;No original box, no original papers;Men's watch/Unisex;3500.0;Item is in stock;Circular;867.0325;Sapphire crystal;Black;Black;1604.0;1677.0;1;1;1;1147.0;8.0;1;8.160803920954665;1.0;0;0;0;0
Paul Picot;Automatic;Steel;Steel;1990.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;1286.0;Item is in stock;Circular;596.9925000000001;Sapphire crystal;Blue;Steel;580.0;419.0;0;0;0;448.0;36.0;0;7.160069207596127;0.0;0;0;0;1
Longines;Automatic;Steel;Leather;2024.0;New;Original box, original papers;Men's watch/Unisex;2429.0;Item is in stock;Circular;581.783125;Sapphire crystal;Blue;Blue;323.0;657.0;1;1;1;222.0;2.0;1;7.795646536334594;1.0;3;0;0;0
Hublot;Manual winding;Titanium;Rubber;2021.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;12995.0;Item is in stock;Circular;794.8125;Sapphire crystal;Skeletonized;Red;791.0;249.0;1;1;1;574.0;5.0;1;9.472396896788991;1.0;2;0;0;1
Meistersinger;Automatic;Steel;Leather;2022.5;Used (Very good);Original box, no original papers;Men's watch/Unisex;1385.0;Item is in stock;Circular;1061.32;Sapphire crystal;Black;Black;2481.0;684.0;1;1;1;1600.0;3.5;1;7.234177179749849;1.0;2;0;0;1
Steinhart;Automatic;Bronze;Rubber;2019.0;New;Original box, original papers;Men's watch/Unisex;725.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;411.0;234.0;1;1;1;270.0;7.0;1;6.587550014824796;1.0;3;0;0;1
Graham;Automatic;Steel;Leather;2014.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;2265.0;Item is in stock;Circular;867.0325;Sapphire crystal;Black;Black;17850.0;12068.0;1;1;1;12521.0;12.0;1;7.725771441587952;1.0;2;0;0;1
Versace;Automatic;Steel;Leather;2023.0;New;Original box, original papers;Men's watch/Unisex;736.0;Item needs to be procured;Circular;692.37;Sapphire crystal;Black;Black;1183.0;1990.0;1;1;1;837.0;3.0;1;6.602587892189336;1.0;3;0;0;0
