Brand;Movement;Case material;Bracelet material;Year of production;Condition;Scope of delivery;Gender;Price;Availability;Shape;Face Area;Crystal;Dial;Bracelet color;Watches Sold by the Seller;Active listing of the seller;Fast Shipper;Trusted Seller;Punctuality;Seller Reviews;age;is_modern;price_log;seller_reputation_score;scope_score;price_anomaly_low;price_anomaly_high;seller_consistent
Timex;Automatic;Steel;Silicon;2023.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;162.0;Item is in stock;Circular;628.0;Sapphire crystal;Gold;Black;580.0;419.0;0;0;0;448.0;3.0;1;5.093750200806762;0.0;2;0;0;1
Formex;Automatic;Carbon;Textile;2024.0;New;Original box, original papers;Men's watch/Unisex;1783.0;Item is in stock;Rectangular;1902.4;Sapphire crystal;Blue;Black;1072.0;1397.0;1;1;1;940.0;2.0;1;7.486613313139955;1.0;3;0;0;0
Movado;Quartz;Steel;Steel;2014.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;930.0;Item is in stock;Circular;628.0;Sapphire crystal;Silver;Silver;580.0;419.0;0;0;0;448.0;12.0;1;6.836259277277067;0.0;3;0;0;1
Hamilton;Automatic;Steel;Leather;2024.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;950.0;Item is in stock;Circular;692.37;Sapphire crystal;Grey;Grey;34.0;12.0;0;0;1;24.0;2.0;1;6.85751406254539;0.3333333333333333;2;0;0;1
Mühle Glashütte;Automatic;Steel;Crocodile skin;2000.0;Like new & unworn;Original box, original papers;Men's watch/Unisex;3781.0;Item is in stock;Rectangular;370.0;Sapphire crystal;Blue;Blue;580.0;419.0;0;0;0;448.0;26.0;1;8.238008249218403;0.0;3;0;0;1
Quinting;Quartz;Steel;Leather;2020.0;Used (Very good);Original box, no original papers;Men's watch/Unisex;6198.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;Skeletonized;Black;282.0;841.0;1;0;1;221.0;6.0;1;8.73214326770192;0.6666666666666666;2;0;0;0
Martin Braun;Automatic;Steel;Rubber;2017.0;Used (Good);No original box, no original papers;Men's watch/Unisex;999.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;171.0;106.0;0;0;1;118.0;9.0;1;6.907755278982137;0.3333333333333333;0;0;0;1
Tudor;Automatic;Steel;Steel;2024.0;New;Original box, original papers;Men's watch/Unisex;3200.0;Item is in stock;Circular;596.9925000000001;Sapphire crystal;Black;Steel;414.0;485.0;0;0;1;263.0;2.0;1;8.071218539969863;0.3333333333333333;3;0;0;0
Glashütte Original;Automatic;Gold/Steel;Textile;2024.0;New;Original box, original papers;Men's watch/Unisex;11850.0;Item is in stock;Circular;732.4992000000001;Sapphire crystal;Grey;Grey;1281.0;1384.0;1;1;1;798.0;2.0;1;9.380167531188448;1.0;3;0;0;0
Carl F. Bucherer;Automatic;Gold/Steel;Gold/Steel;2020.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;2107.0;Item is in stock;Circular;453.73;Sapphire crystal;White;Gold/Steel;1408.0;712.0;0;0;1;958.0;6.0;1;7.653494909661253;0.3333333333333333;2;0;0;1
Ebel;Quartz;Gold/Steel;Gold/Steel;2000.0;Like new & unworn;Original box, original papers;Women's watch;1750.0;Item is in stock;Circular;692.37;Sapphire crystal;Mother of pearl;Black;219.0;177.0;1;1;1;144.0;26.0;1;7.467942332285852;1.0;3;0;0;1
Hermès;Quartz;Gold/Steel;Ostrich skin;2000.0;Used (Very good);No original box, no original papers;Women's watch;962.0;Item is in stock;Circular;226.08;Sapphire crystal;White;Bordeaux;9.0;25.0;1;1;1;9.0;26.0;1;6.870053411798126;1.0;0;0;0;0
Cyma;Quartz;Yellow gold;Leather;1954.0;Like new & unworn;No original box, no original papers;Women's watch;292.0;Item is in stock;Circular;305.525925;Sapphire crystal;White;Black;2998.0;9673.0;1;1;1;2049.0;72.0;0;5.680172609017068;1.0;0;0;0;0
Concord;Manual winding;White gold;Alligator skin;2014.0;Used (Very good);No original box, no original papers;Men's watch/Unisex;5999.0;Item is in stock;Rectangular;1247.0;Sapphire crystal;Black;Black;902.0;431.0;1;1;1;601.0;12.0;1;8.699514748210191;1.0;0;0;0;1
Porsche Design;Automatic;Titanium;Rubber;2018.0;New;Original box, original papers;Men's watch/Unisex;1022.0;Item needs to be procured;Circular;692.37;Sapphire crystal;Black;Black;295.0;433.0;0;1;1;190.0;8.0;1;6.930494765951626;0.6666666666666666;3;0;0;0
Montblanc;Quartz;Steel;Steel;2017.0;Used (Good);No original box, no original papers;Women's watch;1000.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Black;171.0;106.0;0;0;1;118.0;9.0;1;6.90875477931522;0.3333333333333333;0;0;0;1
Oris;Automatic;Steel;Steel;2023.0;Used (Very good);Original box, original papers;Men's watch/Unisex;2150.0;Item is in stock;Circular;725.7325000000001;Sapphire crystal;Black;Silver;3087.0;1595.0;0;1;1;2339.0;3.0;1;7.67368812926773;0.6666666666666666;3;0;0;1
Montblanc;Automatic;Steel;Steel;2022.0;Like new & unworn;Original box, no original papers;Men's watch/Unisex;2800.0;Item is in stock;Circular;692.37;Sapphire crystal;Black;Steel;580.0;419.0;0;0;0;448.0;4.0;1;7.937731775260109;0.0;2;0;0;1
Parmigiani Fleurier;Manual winding;Steel;Leather;2023.0;New;Original box, original papers;Men's watch/Unisex;9950.0;Item is in stock;Rectangular;1662.84;Sapphire crystal;Silver;Brown;2206.0;137.0;1;1;1;1611.0;3.0;1;9.205428327615163;1.0;3;0;0;1
Girard Perregaux;Automatic;Steel;Crocodile skin;2021.0;New;Original box, original papers;Men's watch/Unisex;9700.0;Item is in stock;Circular;759.88;Sapphire crystal;Black;Black;133.0;408.0;1;1;1;98.0;5.0;1;9.179984251961283;1.0;3;0;0;0
